Sample_ID,Zeb_Count,Average_Length_mm,Macro_Count,Macro_per_Zeb,Macro_per_m,SA_Druse_mm,SA_Druse_m,Diptera,Amphipoda,Trichoptera,Ephemeroptera,Coleptera,Odonata,Plecoptera,Gastropoda,Platyhelminthes,Unionidae,Subseason_new,Subseason,Site_new,Site,Simpson,corr_diptera,corr_amphipoda,corr_trichoptera,corr_ephemeroptera,corr_coleptera,corr_odonata,corr_plecoptera,corr_gastropoda,corr_platyhelminthes,corr_unionidae,corr_simpson,corr_count,use_simp,zeb_presence
87,1,25.2,6,6,12,1169.6186,0.001169619,0,0,0,6,0,0,0,0,0,0,June,2,Downstream Wolf,4,0,0,0,0,757.0739093,0,0,0,0,0,0,0,757.0739093,0,1
88,132,14.13076923,10,0.075757576,20,19353.5,0.0193535,6,0,3,1,0,0,0,0,0,0,June,2,Downstream Stump,3,0.6,757.0739093,0,378.5369547,126.1789849,0,0,0,0,0,0,0.540865231,1262.389849,0.540865231,1
89,89,15.44444444,7,0.078651685,14,17947.85,0.01794785,1,1,3,0,0,0,0,2,0,0,June,2,Downstream Stump,3,0.80952381,126.1789849,126.1789849,378.5369547,0,0,0,0,252.3579698,0,0,0.695223279,884.062418,0.695223279,1
90,81,12.8625,6,0.074074074,12,13485.3,0.0134853,2,1,2,0,0,0,0,0,1,0,June,2,Downstream Stump,3,0.866666667,252.3579698,126.1789849,252.3579698,0,0,0,0,0,126.1789849,0,0.72381057,757.940576,0.72381057,1
91,44,10.525,3,0.068181818,6,9126,0.009126,2,1,0,0,0,0,0,0,0,0,June,2,Downstream Stump,3,0.666666667,252.3579698,126.1789849,0,0,0,0,0,0,0,0,0.447571797,379.2036213,0.447571797,1
92,50,11.54,12,0.24,24,9620.2,0.0096202,3,2,1,0,0,0,0,0,6,0,June,2,Downstream Stump,3,0.712121212,378.5369547,252.3579698,126.1789849,0,0,0,0,0,757.0739093,0,0.653535259,1514.85994,0.653535259,1
93,38,12.125,19,0.5,38,5857.83,0.00585783,3,5,3,0,0,0,0,6,0,2,June,2,Downstream Bemidji,2,0.812865497,378.5369547,630.8949245,378.5369547,0,0,0,0,757.0739093,0,252.3579698,0.7705601,2398.213578,0.7705601,1
94,17,14.3,30,1.764705882,60,2979.715,0.002979715,9,17,1,2,0,0,0,0,1,0,June,2,Downstream Bemidji,2,0.602298851,1135.610864,2145.042743,126.1789849,252.3579698,0,0,0,0,126.1789849,0,0.582508955,3785.971846,0.582508955,1
95,167,12.84375,51,0.305389222,102,23660.265,0.023660265,15,5,26,1,2,0,0,1,0,1,June,2,Downstream Bemidji,2,0.654117647,1892.684773,630.8949245,3280.653607,126.1789849,252.3579698,0,0,126.1789849,0,126.1789849,0.641464379,6435.782347,0.641464379,1
96,53,14.02,15,0.283018868,30,9666.02,0.00966602,4,4,3,1,0,0,0,2,0,1,June,2,Downstream Bemidji,2,0.847619048,504.7159396,504.7159396,378.5369547,126.1789849,0,0,0,252.3579698,0,126.1789849,0.791715962,1893.532392,0.791715962,1
97,18,8.065,7,0.388888889,14,2514.7946,0.002514795,1,3,0,2,0,0,0,1,0,0,June,2,Downstream Bemidji,2,0.80952381,126.1789849,378.5369547,0,252.3579698,0,0,0,126.1789849,0,0,0.695223279,884.062418,0.695223279,1
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,June,2,Uninfested,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
99,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,June,2,Uninfested,1,1,0,0,0,0,0,126.1789849,0,0,0,0,0.015725869,127.1789849,1,0
100,0,0,5,0,10,0,0,0,0,0,0,0,0,0,5,0,0,June,2,Uninfested,1,0,0,0,0,0,0,0,0,630.8949245,0,0,0,630.8949245,0,0
101,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,June,2,Uninfested,1,1,0,0,0,0,0,0,0,126.1789849,0,0,0.015725869,127.1789849,1,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,June,2,Uninfested,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
103,2,15,2,1,4,1361.36,0.00136136,0,0,0,2,0,0,0,0,0,0,June,2,Downstream Andrusia,5,0,0,0,0,252.3579698,0,0,0,0,0,0,0,252.3579698,0,1
104,54,11.16666667,22,0.407407407,44,8711.92,0.00871192,2,9,0,5,6,0,0,0,0,0,June,2,Downstream Andrusia,5,0.731601732,252.3579698,1135.610864,0,630.8949245,757.0739093,0,0,0,0,0,0.698757605,2776.669269,0.698757605,1
105,35,13.55,10,0.285714286,20,7168.545,0.007168545,0,3,2,1,1,0,0,0,3,0,June,2,Downstream Andrusia,5,0.844444444,0,378.5369547,252.3579698,126.1789849,126.1789849,0,0,0,378.5369547,0,0.760923032,1262.634293,0.760923032,1
106,19,18.45,7,0.368421053,14,3406.075,0.003406075,3,2,0,1,0,0,0,1,0,0,June,2,Downstream Andrusia,5,0.80952381,378.5369547,252.3579698,0,126.1789849,0,0,0,126.1789849,0,0,0.695223279,884.062418,0.695223279,1
107,54,12.8,10,0.185185185,20,7504.35,0.00750435,3,3,0,3,0,0,0,0,1,0,June,2,Downstream Andrusia,5,0.8,378.5369547,378.5369547,0,378.5369547,0,0,0,0,126.1789849,0,0.720925201,1262.589849,0.720925201,1
108,4,9.475,5,1.25,10,1342.66,0.00134266,0,0,1,2,0,0,0,1,1,0,June,2,Downstream Wolf,4,0.9,0,0,126.1789849,252.3579698,0,0,0,126.1789849,126.1789849,0,0.721937581,631.7949245,0.721937581,1
109,1,18.9,8,8,16,538.8554,0.000538855,5,0,0,2,0,0,0,0,1,0,June,2,Downstream Wolf,4,0.607142857,630.8949245,0,0,252.3579698,0,0,0,0,126.1789849,0,0.532339823,1010.039022,0.532339823,1
110,1,14.7,2,2,4,763.42,0.00076342,0,0,0,1,0,0,0,0,1,0,June,2,Downstream Wolf,4,1,0,0,0,126.1789849,0,0,0,0,126.1789849,0,0.505920477,253.3579698,0.505920477,1
111,5,13.98,2,0.4,4,2388.04,0.00238804,0,0,0,0,0,0,0,1,1,0,June,2,Downstream Wolf,4,1,0,0,0,0,0,0,0,126.1789849,126.1789849,0,0.505920477,253.3579698,0.505920477,1
